0.9803,0.9803,0.9803,0.9802,0.9803,0.9803,0.9803,0.9803,0.9803,0.9799,0.9796,0.9796,0.9798,0.9795,0.9802,0.9807,0.9799,0.9806,0.98,0.9797,0.9799,0.9804,0.9802,0.9802,0.9803,0.9804,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9802,0.9802,0.9803,0.9802,0.9803,0.98,0.9799,0.9795,0.9793,0.9797,0.9802,0.9802,0.9796,0.9798,0.98,0.9804,0.9805,0.9803,0.98,0.9801,0.9802,0.9802,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9803,0.9802,0.9804,0.9803,0.9801,0.9802,0.98,0.9796,0.9796,0.9792,0.9808,0.9807,0.9796,0.9802,0.9796,0.9804,0.9804,0.9801,0.9804,0.98,0.98,0.9802,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.98,0.9801,0.9804,0.98,0.9799,0.9796,0.9798,0.9803,0.9797,0.98,0.9795,0.9807,0.9804,0.9802,0.9803,0.9803,0.9803,0.98,0.9803,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9803,0.9801,0.9803,0.9802,0.9799,0.98,0.9798,0.9799,0.9801,0.9799,0.9803,0.9807,0.9796,0.9806,0.9802,0.9807,0.9803,0.9803,0.9807,0.9803,0.9803,0.9804,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9803,0.9804,0.98,0.9799,0.9801,0.9798,0.9799,0.9802,0.9803,0.9808,0.9805,0.98,0.9796,0.9799,0.9803,0.9803,0.9806,0.9805,0.9803,0.9804,0.9805,0.9804,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9804,0.9804,0.9797,0.9795,0.9797,0.9797,0.9803,0.9803,0.9798,0.9808,0.9807,0.9803,0.9802,0.9808,0.9801,0.9809,0.9808,0.9806,0.9803,0.9804,0.9803,0.9803,0.9802,0.9803
0.9803,0.9803,0.9803,0.9804,0.9804,0.9802,0.9801,0.9802,0.9796,0.9798,0.9804,0.9805,0.9799,0.98,0.9809,0.9797,0.9804,0.9805,0.9804,0.9804,0.9801,0.9806,0.9804,0.9802,0.9802,0.9802,0.9803,0.9803
0.9803,0.9803,0.9803,0.9804,0.9801,0.9804,0.9803,0.9803,0.98,0.9801,0.9796,0.9796,0.9799,0.9803,0.9809,0.9806,0.9802,0.9806,0.9809,0.9802,0.9799,0.9802,0.9805,0.9802,0.9803,0.9803,0.9803,0.9803
0.9803,0.9803,0.9803,0.9804,0.9803,0.9803,0.9804,0.9802,0.9801,0.98,0.9797,0.9802,0.9796,0.9797,0.9802,0.9802,0.9803,0.9809,0.9805,0.9802,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803
0.9803,0.9803,0.9804,0.9804,0.9803,0.9802,0.9805,0.98,0.9798,0.9801,0.9799,0.9805,0.9807,0.9801,0.9806,0.9805,0.9801,0.9803,0.9801,0.9802,0.98,0.9802,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803
0.9803,0.9803,0.9803,0.9804,0.9803,0.9803,0.9803,0.9803,0.9801,0.9795,0.9798,0.9801,0.9802,0.9803,0.9805,0.9803,0.9801,0.9801,0.9798,0.9798,0.9799,0.9802,0.9802,0.9803,0.9803,0.9803,0.9803,0.9803
0.9803,0.9803,0.9803,0.9804,0.9804,0.9804,0.9803,0.9804,0.9799,0.9803,0.9804,0.9801,0.9804,0.9807,0.9798,0.9801,0.9801,0.9801,0.9802,0.9801,0.9802,0.9802,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9804,0.9804,0.9803,0.9803,0.9797,0.9799,0.9801,0.9803,0.9799,0.9803,0.9799,0.9806,0.9799,0.9799,0.9802,0.9801,0.9802,0.9802,0.9802,0.9803,0.9803,0.9803,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9805,0.9805,0.9804,0.9802,0.98,0.9803,0.9801,0.9803,0.9803,0.9799,0.9804,0.98,0.9802,0.9804,0.9802,0.9801,0.9801,0.9802,0.9802,0.9803,0.9803,0.9803,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9804,0.9804,0.9803,0.9803,0.9804,0.9804,0.9801,0.9803,0.9805,0.9805,0.9802,0.9803,0.9805,0.9804,0.9804,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9804,0.9804,0.9804,0.9803,0.9803,0.9804,0.9803,0.9804,0.9804,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803
0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9804,0.9803,0.9803,0.9804,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803,0.9803
